小区名称,地址,参考价格,建筑类型,物业费用,物业公司,开发商,楼栋总数,房屋总数
御南苑,(达川区南客站)迎春街19号,6415,塔楼/板楼,0.5至1元/平米/月,无物业管理服务,"山东高速集团,绿城集团",4栋,1015户
水天花园,(通川区塔坨)朝阳中路369号,5934,塔楼/塔板结合,0.5至0.8元/平米/月,暂无信息,四川大地房地产开发有限责任公司,6栋,334户
石化南苑,(达川区南客站)康乐巷286号,6353,塔楼/塔板结合,0.9至1.2元/平米/月,四川心连心物业服务有限公司,"山东高速集团,绿城集团",3栋,1907户
华南花园,(达川区南客站)华南巷12号,6662,塔楼/塔板结合,1.2至15元/平米/月,暂无信息,保利华南地产,3栋,625户
廣電花園,(通川区罗浮广场)金龙大道廣電花園,7207,塔楼,0.7至1.2元/平米/月,暂无信息,物业和度娘都不知道开发商名称,6栋,779户
金龙小区,(通川区西客站)金龙大道10号,6179,塔楼,1元/平米/月,未知,暂无信息,7栋,464户
鹿鼎锦苑,(通川区罗浮广场)朝阳中路318号,6079,塔楼,0.7元/平米/月,未知,长治市郊区鹿鼎房地产开发有限公司,3栋,190户
港都月光城,(通川区中心广场)西胜街73号,6645,塔楼/塔板结合,0.5至0.8元/平米/月,暂无信息,未知,3栋,565户
南城丽苑,(达川区三里坪)华蜀北路270号,6431,塔楼/塔板结合,0.8至1元/平米/月,暂无信息,四川长富集团,10栋,910户
幸福世家,(通川区罗浮广场)廖家湾巷29号,7099,塔楼,0.8元/平米/月,暂无信息,物业和度娘都不知道开发商名称,1栋,304户
丽阳天下,(通川区北客站)阳平路丽阳天下,6414,塔楼,1至1.2元/平米/月,未知,丽丰房地产集团,2栋,331户
宏升·國際新城,(通川区西客站)夏荷街80号,6757,塔楼/平房,0.7元/平米/月,暂无信息,四川宏升房地产开发有限公司,7栋,1177户
罗浮·道城,(通川区西客站)朝阳西路705号,6808,塔楼/板楼,1.2元/平米/月,成都罗浮物业服务有限公司,达州市大昌实业有限责任公司,3栋,614户
天恒花园3期,(通川区罗浮广场)朝阳西路246号,6582,塔楼,1.2元/平米/月,暂无信息,创天集团,1栋,444户
仁和锦绣城,(达川区三里坪)康泰街仁和锦绣城,7771,塔楼,1.88元/平米/月,暂无信息,达州市达裕房地产开发有限公司,4栋,813户
宏峰大厦,(通川区中心广场)朝阳东路371号,6923,塔板结合,1至1.5元/平米/月,无物业管理服务,达州市大地房地产开发有限公司,4栋,805户
悦城,(达川区三里坪)长寿街30号,6460,塔楼/塔板结合,0.8至1.8元/平米/月,暂无信息,物业和度娘都不知道开发商名称,7栋,1007户
锦瑞苑,(通川区罗浮广场)金兰路399号,6538,塔楼,0.7至0.8元/平米/月,无物业管理服务,物业和度娘都不知道开发商名称,3栋,240户
绿叶盛景湾小区,(通川区中心广场)朝阳东路绿叶盛景湾小区,5884,板楼,1元/平米/月,暂无信息,未知,1栋,120户
南亭香江,(达川区三里坪)同安路20号,6818,塔楼,0.7至1.2元/平米/月,暂无信息,暂无信息,2栋,496户
香榭国际,(通川区金龙大道)凤凰大道222号,7562,塔楼,1至1.4元/平米/月,无物业管理服务,成都市捷帝置业有限公司,6栋,1588户
信德城市绿洲,(通川区西客站)朝阳西路269号,6432,塔楼,0.8元/平米/月,暂无信息, 信德集团,9栋,520户
仁和苑,(通川区西客站)金龙大道88号,6651,塔楼,1.2元/平米/月,暂无信息,暂无信息,3栋,385户
六合世家,(达川区万达路)华蜀北路129号,6790,塔楼,0.7至0.9元/平米/月,未知,四川建筑公司,5栋,1184户
罗浮知天下小区,(通川区罗浮广场)金兰路470号,6941,塔楼,1至1.5元/平米/月,暂无信息,物业和度娘都不知道开发商名称,2栋,360户
南滨大厦,(达川区三里坪)同安路318号,6602,塔板结合,1.28元/平米/月,四川远鸿物业管理有限公司达州分公司,万隆达涿鹿房地产开发有限公司,1栋,216户
锦州国际五区,(达川区三里坪)桐梁街1号,6114,塔楼/塔板结合,0.8元/平米/月,怡佳物业公司,四川清晨实业集团有限公司,10栋,1469户
侨兴时代广场,(达川区南客站)迎春街18号,6445,塔楼/塔板结合,0.64至1.2元/平米/月,达州清新物业公司,落实侨房政策,4栋,486户
吉鑫公寓,(达川区南客站)七河路吉鑫公寓,5833,塔楼,1元/平米/月,暂无信息,暂无信息,1栋,504户
西豪逸景,(通川区金龙大道)凤凰大道132号,5982,塔楼,0.8元/平米/月,暂无信息,达州市久昌房地产开发有限公司,1栋,238户
全运二小区,(达川区南客站)东环南路南段36号,5925,塔楼/塔板结合,0.5至0.8元/平米/月,无, 重庆汇东房地产开发有限公司,4栋,503户
金地花园二区,(通川区金龙大道)金牌路104号,5867,板楼,0.8元/平米/月,暂无信息,嘉业路桥建设有限公司,7栋,192户
南滨印象,(达川区三里坪)同安路49号,6820,平房,0.8元/平米/月,暂无信息,暂无信息,1栋,181户
惠安路51号,"(达川区三里坪)惠安路51号, 惠安路53号",7075,板楼,暂无信息,暂无信息,暂无信息,2栋,177户
仁和新村,(通川区北客站)野茅溪路仁和新村,6318,未知类型,0.5元/平米/月,暂无信息,暂无信息,1栋,144户
博视影城商厦,(通川区北客站)柴市街2号,6157,塔楼,1元/平米/月,无物业管理服务,无开发商,2栋,276户
城市坐标,(达川区三岔路口)达州市，达川区，华属南路443号,6532,塔板结合,1元/平米/月,无物业管理服务,达州市侨兴房产开发有限公司,1栋,152户
通锦·国际嘉园I期,(通川区罗浮广场)白塔路通锦·国际嘉园I期,6655,塔楼,1.2元/平米/月,暂无信息,四川南充锦通置业有限公司,7栋,792户
兰桂花园,(通川区罗浮广场)金兰路431号,7261,塔板结合,1元/平米/月,暂无信息,物业和度娘都不知道开发商名称,3栋,107户
南城茗居,(达川区三里坪)建设路229号,6226,塔楼,0.6元/平米/月,暂无信息,三河市兴达房地产开发有限公司,1栋,364户
天合佳苑,(达川区南客站)骑龙大道46号,5998,塔楼,1元/平米/月,暂无信息, 重庆汇东房地产开发有限公司,2栋,288户
侨兴·西苑,(通川区金龙大道)金龙大道362号,6336,塔楼/板楼/平房,0.48至1元/平米/月,暂无信息,达州市侨兴房产开发有限公司,8栋,237户
滨江风景,(通川区老车坝)滨河东路406号,6439,塔楼/平房,0.8至1元/平米/月,暂无信息,四川滨江地产发展有限公司,6栋,3211户
新潮茗苑,(通川区罗浮广场)金龙大道199号,6100,塔楼,0.8元/平米/月,暂无信息,达州市侨兴房产开发有限公司,2栋,144户
南鑫广场,(达川区南客站)文兴街66号,7497,塔板结合,0.8元/平米/月,暂无信息,南新开发,1栋,481户
万顺家园,(达川区三里坪)万达路中段万顺家园,6598,板楼,0.8元/平米/月,暂无信息,暂无信息,2栋,447户
清晨佳苑,(达川区万达路)惠安路12号,6292,塔板结合,暂无信息,暂无信息,四川高达房产,1栋,112户
大地·天和盛世,(通川区中心广场)红旗路177号,7445,塔楼/平房,0.5至1元/平米/月,暂无信息,达州市大地房地产开发有限公司,2栋,866户
广泽格凌西城项目部,(通川区西客站)金龙大道48号,6453,塔楼/平房,1.2元/平米/月,暂无信息,四川省广泽投资发展有限公司,4栋,721户
交通局家属院,(通川区中心广场)文化巷59号,6122,板楼,0.5元/平米/月,暂无信息,无开发公司,1栋,36户
怡鑫苑,(达川区三里坪)汉兴北街580号,5544,板楼/塔板结合,0.5至0.8元/平米/月,暂无信息,暂无信息,3栋,636户
中迪·红星商业广场,(通川区莲花湖)金龙大道666号,6573,塔楼,1.2元/平米/月,暂无信息,四川中迪禾邦实业集团有限公司,1栋,808户
五环花园,(通川区老车坝)张家湾路92号,5625,塔楼/板楼,1至1.5元/平米/月,自持物业,无开发商,2栋,264户
书香雅筑11号,(通川区罗浮广场)塔石路书香雅筑11号,6631,塔楼,0.6元/平米/月,暂无信息,河南中书置业有限公司,1栋,342户
滨江丽都,(达川区三里坪)珠市街71号,6155,塔板结合,暂无信息,无,达州福森置业有限公司,2栋,363户
天悦名居,(通川区西客站)金龙大道96号,6755,塔楼,1元/平米/月,无物业管理服务,四川省裕丰房地产开发有限公司,10栋,640户
金地阳光,(通川区北客站)大西街28号,6179,塔楼/塔板结合,1元/平米/月,无物业管理服务,未知,3栋,366户
侨兴·凤凰城,(通川区老车坝)凤竹巷10号,7468,塔楼,0.8元/平米/月,暂无信息,暂无信息,2栋,213户
石化东苑,(达川区南客站)汉兴街399号,6787,塔板结合,1元/平米/月,安顺物业,嘉宝安石,1栋,416户
民兴嘉苑,(通川区中心广场)天灯巷76号,6693,平房,1.2元/平米/月,暂无信息,未知,1栋,108户
清晨佳苑,(达川区万达路)惠安路12号,6292,塔板结合,暂无信息,暂无信息,四川高达房产,1栋,112户
龙泉宜家,(通川区金龙大道)龙井路44号,5814,塔楼,0.8元/平米/月,暂无信息,四川路桥通锦房地产开发有限公司,2栋,232户
侨兴中华花园西区,(达川区三里坪)泰宁路27号,7124,塔楼,1.1元/平米/月,创美物业,"上海飘鹰展翅置业有限公司,",3栋,601户
南城茗居,(达川区三里坪)建设路229号,6226,塔楼,0.6元/平米/月,暂无信息,三河市兴达房地产开发有限公司,1栋,364户
天合佳苑,(达川区南客站)骑龙大道46号,5998,塔楼,1元/平米/月,暂无信息, 重庆汇东房地产开发有限公司,2栋,288户
侨兴·西苑,(通川区金龙大道)金龙大道362号,6336,塔楼/板楼/平房,0.48至1元/平米/月,暂无信息,达州市侨兴房产开发有限公司,8栋,237户
新潮茗苑,(通川区罗浮广场)金龙大道199号,6100,塔楼,0.8元/平米/月,暂无信息,达州市侨兴房产开发有限公司,2栋,144户
滨江风景,(通川区老车坝)滨河东路406号,6439,塔楼/平房,0.8至1元/平米/月,暂无信息,四川滨江地产发展有限公司,6栋,3211户
南鑫广场,(达川区南客站)文兴街66号,7497,塔板结合,0.8元/平米/月,暂无信息,南新开发,1栋,481户
惠安路51号,"(达川区三里坪)惠安路51号, 惠安路53号",7075,板楼,暂无信息,暂无信息,暂无信息,2栋,177户
仁和新村,(通川区北客站)野茅溪路仁和新村,6318,未知类型,0.5元/平米/月,暂无信息,暂无信息,1栋,144户
保险街152号,(达川区三岔路口)保险街152号,5959,塔板结合,1元/平米/月,暂无信息,暂无信息,2栋,72户
来凤路桑树巷市委家属院,(通川区中心广场)通川区来凤路桑树巷市委家属院,6160,塔板结合,暂无信息,暂无信息,暂无信息,1栋,100户
清晨华庭,(达川区南客站)永定巷179号,7558,塔楼,1.2元/平米/月,暂无信息,四川清晨实业集团有限公司,1栋,260户
金岸世纪,(通川区北客站)朝阳东路664号,6680,塔楼/平房,0.3至1元/平米/月,暂无信息,未知,2栋,513户
巴山佳苑,(通川区金龙大道)塔石路巴山佳苑,5861,塔楼,0.5元/平米/月,暂无信息,暂无信息,1栋,154户
朝阳名宅,(通川区塔坨)朝阳中路625号,7530,塔楼,1.2元/平米/月,暂无信息,无开发公司,3栋,160户
熙河湾,(通川区金龙大道)凤凰大道熙河湾,6061,塔楼,1元/平米/月,暂无信息, 重庆汇东房地产开发有限公司,8栋,1631户
达州市农科所住宅区,(通川区老车坝)健民路188号,6366,未知类型,暂无信息,暂无信息,暂无信息,2栋,93户
瑞城·麓岛国际,(达川区南坝)临江路瑞城·麓岛国际,6590,塔楼,1.2元/平米/月,无,达州中铁瑞城置业有限公司,3栋,744户
創世精典,(通川区金龙大道)金龙大道360号,7278,塔楼,1元/平米/月,暂无信息,物业和度娘都不知道开发商名称,4栋,403户
西泉怡庭,(通川区金龙大道)金牌路西泉怡庭,7281,塔楼/板楼,1元/平米/月,达州鸿鑫物业有限公司,四金房产,6栋,525户
别样苑,(通川区金龙大道)龙泉路97号,7641,塔楼/塔板结合,1.2元/平米/月,暂无信息,物业和度娘都不知道开发商名称,3栋,140户
升华广场小区,(达川区南客站)汉兴街300号,7200,塔楼/板楼/塔板结合,1.2元/平米/月,暂无信息,达州凯龙置业有限公司,5栋,576户
立根尚城,(达川区南客站)健身路39号,7375,塔楼/塔板结合,1元/平米/月,未知,重庆立立房地产开发有限公司,5栋,978户
华诚大厦,(通川区罗浮广场)朝阳西路90号,6561,塔楼,1.2元/平米/月,暂无信息,物业和度娘都不知道开发商名称,1栋,104户
天悦名居二期,(通川区西客站)金龙大道山水美地,7163,塔楼,1元/平米/月,暂无信息,四川省裕丰房地产开发有限公司,1栋,220户
箭亭子街40号,(通川区中心广场)箭亭子街40号,6685,塔楼,1元/平米/月,暂无信息,四川滨江地产发展有限公司,3栋,652户
布市街13号,"(达川区)布市街13号,永丰街18号",6089,板楼,暂无信息,暂无信息,达州市银河房地产开发公司,1栋,51户
德迈·康居盛世,(达川区南客站)迎春街62号,7374,未知类型,暂无信息,暂无信息,暂无信息,1栋,102户
都市华庭,(大竹县大竹县)竹阳东路东段100号,6020,未知类型,暂无信息,暂无信息,暂无信息,2栋,1户
罗浮阳光心殿,(通川区西客站)金山北路罗浮阳光心殿,7622,塔楼/塔板结合,1.5元/平米/月,阳光州际实施物业,达州市大昌实业有限责任公司,3栋,522户
帝主宫外贸家属院,(通川区)帝主宫巷44号,6749,板楼,暂无信息,暂无信息,暂无信息,1栋,78户
